time,hs_300,zz_500,sz_bond,sw_gold,nh_goods,us_spx,hk_hsi
2009/12/16,3560.723,4506.039,114.046,10673.07,1370.1044,1109.18,21611.7402
2009/12/17,3480.153,4364.926,113.942,10465.21,1370.283,1096.08,21347.6309
2009/12/18,3391.735,4203.48,113.952,10008.33,1367.4579,1102.47,21175.8809
2009/12/21,3396.622,4256.389,114.006,10042.53,1368.0578,1114.05,20948.0996
2009/12/22,3305.543,4136.822,114.123,9625.35,1359.2909,1118.02,21092.04
2009/12/23,3336.48,4210.173,114.042,9576.99,1364.0307,1120.59,21328.7402
2009/12/24,3438.817,4345.296,114.022,10144.48,1382.359,1126.48,21517
2009/12/25,3424.783,4376.193,114.147,9916.21,1386.9952,1126.48,21517
2009/12/28,3478.433,4447.205,114.127,10079.25,1403.1225,1127.78,21480.2207
2009/12/29,3500.737,4463.604,114.311,10022.22,1402.3392,1126.2,21499.4395
2009/12/30,3558.857,4446.067,114.172,10036.67,1404.5478,1126.42,21496.6191
2009/12/31,3575.684,4485.255,114.26,10132.8,1422.2004,1115.1,21872.5
2010/1/4,3535.229,4510.527,114.404,10052.56,1430.4799,1132.99,21823.2793
2010/1/5,3564.038,4557.475,114.273,10260.83,1441.4393,1136.52,22279.5801
2010/1/6,3541.727,4550.279,114.068,10106.66,1454.1171,1137.14,22416.6699
2010/1/7,3471.456,4459.155,114.034,9936.64,1432.498,1141.69,22269.4492
2010/1/8,3480.13,4514.452,113.991,9859.49,1420.3436,1144.98,22296.75
2010/1/11,3482.052,4542.949,114.173,9980.71,1444.1139,1146.98,22411.5195
2010/1/12,3534.916,4639.632,113.989,10028.21,1433.9426,1136.22,22326.6406
2010/1/13,3421.144,4591.024,113.88,9749.35,1394.6335,1145.68,21748.5996
2010/1/14,3469.051,4714.1,113.909,9785.62,1409.0916,1148.46,21716.95
2010/1/15,3482.738,4747.648,113.937,9819.15,1398.636,1136.03,21654.1602
2010/1/18,3500.684,4829.062,113.984,9775.75,1401.3217,1136.03,21460.0098
2010/1/19,3507.482,4830.016,114.06,9898.59,1411.4203,1150.23,21677.9805
2010/1/20,3394.434,4651.074,114.075,9585.95,1400.9422,1138.04,21286.1699
2010/1/21,3408.574,4667.209,114.113,9408.59,1413.742,1116.48,20862.6699
2010/1/22,3366.197,4537.88,114.129,9156.5,1387.8073,1091.76,20726.1797
2010/1/25,3328.014,4481.16,114.19,9224.18,1390.5428,1096.78,20598.5508
2010/1/26,3242.797,4294.383,114.232,8914.99,1375.9686,1092.17,20109.3301
2010/1/27,3198.566,4267.113,114.276,8695.81,1375.3471,1097.5,20033.0703
2010/1/28,3206.57,4336.381,114.305,8641.29,1345.2255,1084.53,20356.3691
2010/1/29,3204.155,4374.649,114.353,8571.29,1329.7502,1073.87,20121.9902
2010/2/1,3152.707,4331.366,114.538,8285.43,1319.7065,1089.19,20243.75
2010/2/2,3146.189,4301.768,114.652,8721.56,1318.8049,1103.32,20272.1797
2010/2/3,3230.715,4363.079,114.821,8908.7,1347.5382,1097.28,20722.0801
2010/2/4,3218.802,4408.441,114.805,8721.58,1328.0471,1063.11,20341.6406
2010/2/5,3153.087,4311.293,114.861,8450.55,1306.8405,1066.19,19665.0801
2010/2/8,3150.988,4310.894,114.927,8489.11,1313.1869,1056.74,19550.8906
2010/2/9,3169.19,4311.891,115.211,8614.83,1321.9832,1070.52,19790.2793
2010/2/10,3214.13,4366.25,115.025,8643.61,1340.2985,1068.13,19922.2207
2010/2/11,3220.398,4356.517,115.21,8745.81,1352.8839,1078.47,20290.6895
2010/2/12,3251.278,4416.219,115.189,8974.71,1363.9601,1075.51,20268.6895
2010/2/22,3233.345,4419.547,114.999,8907.32,1387.0194,1108.01,20377.2695
2010/2/23,3198.634,4459.155,115.02,8739.76,1393.3823,1094.6,20623
2010/2/24,3244.483,4556.281,115.101,8807.05,1385.3912,1105.24,20467.7402
2010/2/25,3292.128,4629.965,115.207,8872.77,1375.6243,1102.94,20399.57
2010/2/26,3281.666,4634.671,115.459,8820.44,1378.0268,1104.49,20608.6992
2010/3/1,3324.423,4686.266,115.755,8998.13,1392.5392,1115.71,21056.9297
2010/3/2,3311.236,4690.293,115.908,8825.95,1370.5332,1118.31,20906.1094
2010/3/3,3335.081,4758.434,116.255,8916.71,1378.7155,1118.79,20876.7891
2010/3/4,3250.573,4586.523,116.188,8676.8,1368.8507,1122.97,20575.7793
2010/3/5,3259.764,4604.586,116.264,8703.24,1376.1258,1138.7,20787.9707
2010/3/8,3286.178,4654.583,116.336,8780.68,1391.6396,1138.5,21196.8691
2010/3/9,3305.863,4660.126,116.342,8741.46,1386.9058,1140.45,21207.5508
2010/3/10,3279.694,4598.994,116.258,8826.38,1385.0659,1145.61,21208.2891
2010/3/11,3276.705,4562.872,116.222,8731.81,1366.5465,1150.24,21228.1992
2010/3/12,3233.126,4492.861,116.222,8673.43,1364.5867,1149.99,21209.7402
2010/3/15,3183.183,4454.76,116.233,8494,1346.0751,1150.51,21079.0996
2010/3/16,3203.971,4491.465,116.277,8593.36,1354.1538,1159.46,21022.9297
2010/3/17,3273.916,4616.053,116.445,8743.17,1368.7956,1166.21,21384.4902
2010/3/18,3267.555,4630.953,116.589,8655.21,1362.4957,1165.83,21330.6699
2010/3/19,3293.871,4663.903,116.63,8757.63,1375.4579,1159.9,21370.8203
2010/3/22,3302.628,4690.198,116.592,8671.43,1369.3409,1165.81,20933.25
2010/3/23,3275.573,4658.626,116.428,8638.66,1361.4371,1174.17,20987.7793
2010/3/24,3276.669,4683.065,116.441,8591.39,1357.1109,1167.72,21008.6191
2010/3/25,3229.128,4620.749,116.514,8474.17,1363.5468,1165.73,20778.5508
2010/3/26,3275.002,4686.931,116.459,8529.37,1371.2592,1166.59,21053.1094
2010/3/29,3358.54,4723.611,116.299,8724.89,1382.3384,1173.22,21237.4297
2010/3/30,3366.708,4744.423,116.156,8707.07,1381.7674,1173.27,21374.79
2010/3/31,3345.607,4756.157,116.079,8627.33,1375.5994,1169.43,21239.3496
2010/4/1,3391.935,4827.214,116.168,8762.18,1379.0953,1178.1,21537
2010/4/2,3407.346,4843.175,116.164,9019.11,1388.6746,1178.1,21537
2010/4/6,3405.145,4852.904,116.24,9061.48,1395.8909,1189.44,21537
2010/4/7,3386.949,4863.639,116.082,9064.07,1398.4013,1182.45,21928.7695
2010/4/8,3346.744,4864.922,115.923,8989.88,1385.3141,1186.44,21867.0391
2010/4/9,3379.17,4939.176,115.984,9017.09,1394.284,1194.37,22208.5
